"latitude","longitude"
"-9.7180137","-35.9021987"
"-9.5816724","-36.3080418"
"-9.118768","-37.7425524"
"-9.1566713","-35.5290222"
"-9.3780575","-35.8335968"
"-9.3067641","-36.8650138"
"-9.6033066","-37.2481911"
"-9.3049009","-35.9417336"
"-8.9334078","-35.6423739"
"-9.5365871","-37.2942744"
"-9.4967803","-37.8284435"
"-10.0534189","-36.8177452"
"-9.5198291","-37.1921146"
"-9.1673707","-37.3546895"
"-9.6547119","-37.3105597"
"-9.416181","-36.6309891"
"-9.7327022","-37.4351507"
"-9.2493986","-38.0013546"
"-9.4651634","-35.5521267"
"-9.248661","-35.490115"
"-9.37892","-36.4073823"
"-10.2874407","-36.5823896"
"-10.3951675","-36.4312436"
"-9.5896138","-35.950723"
"-9.4589416","-36.3205717"
"-9.5995911","-37.7586331"
"-9.3077017","-37.2920682"
"-9.0466257","-35.4012421"
"-9.1581516","-35.2960034"
"-9.3233715","-36.4744028"
"-9.4801962","-35.8579881"
"-9.8432844","-35.9797594"
"-9.5932129","-35.8223279"
"-9.3636101","-37.2483089"
"-9.1792088","-36.2310788"
"-9.0118729","-36.0535182"
"-9.5439311","-37.3841501"
"-9.3180404","-35.5639406"
"-9.7801879","-36.0983463"
"-9.9327974","-36.546976"
"-9.5723058","-35.8241769"
"-9.4575","-37.4575"
"-9.534319","-36.4379967"
"-9.6489596","-36.4968773"
"-9.9059845","-36.3523124"
"-9.171531","-36.0211591"
"-9.363378","-36.238616"
"2.0510817","-50.7944645"
"2.4980353","-50.9496266"
"0.953375","-50.7770462"
"0.8537604","-51.1940777"
"0.5419366","-50.7282479"
"-0.8323593","-52.4103959"
"0.0344566","-51.0665639"
"-0.1162033","-51.2859622"
"3.8314881","-51.8354444"
"0.7694678","-51.9537462"
"0.7043865","-51.409554"
"1.7238756","-50.8753779"
"-0.0442179","-51.1784316"
"0.8668734","-52.0257696"
"1.5059573","-50.9114061"
"-1.1236111","-51.9958333"
"-3.2213464","-64.8045086"
"-3.3643451","-68.1985213"
"4.8005556","-67.6433333"
"-3.7733502","-61.6444955"
"1.221922","-69.14621"
"-4.3723466","-70.1925286"
"-3.5803508","-59.1314836"
"-0.9753386","-62.9245001"
"-2.7933482","-57.0704719"
"-4.3833468","-70.0315281"
"-3.8983498","-61.3734943"
"-2.9715388","-57.5866686"
"-8.7406895","-67.3840816"
"-4.3883539","-59.5944863"
"-3.3283486","-61.2094933"
"-6.5343578","-64.3835084"
"-4.8790675","-66.9000867"
"-3.8121211","-60.3455265"
"-3.2207688","-59.868698"
"-4.0848815","-63.1417092"
"-3.8373502","-62.0574973"
"-6.6603525","-69.8745296"
"-7.311461","-70.232933"
"-2.5143434","-66.0925133"
"-2.971853","-57.677391"
"-7.5061665","-63.0271717"
"-7.0513513","-71.6955356"
"-3.2011286","-60.1781584"
"-3.1419812","-58.442635"
"-6.4253536","-68.2535239"
"-2.7493476","-58.0224777"
"-1.8263409","-66.599515"
"-4.033333","-66.383333"
